Date,Open,High,Low,Close,Adj Close,Volume
7/23/2022,44578.27734,44578.27734,43456.69141,43961.85938,43961.85938,19792547657
7/24/2022,43937.07031,44132.97266,40249.37109,40538.01172,40538.01172,26246662813
7/25/2022,40552.13281,40929.15234,39637.61719,40030.97656,40030.97656,23310007704
7/26/2022,40026.02344,40418.87891,39713.05859,40122.15625,40122.15625,13736557863
7/27/2022,40118.10156,40119.89063,38112.8125,38431.37891,38431.37891,18340576452
7/28/2022,38423.21094,39394.4375,36950.47656,37075.28125,37075.28125,29280402798
7/29/2022,37068.76953,38359.85547,36488.93359,38286.02734,38286.02734,25493150450
7/30/2022,38285.28125,39122.39453,37201.81641,37296.57031,37296.57031,21849073843
7/31/2022,37278.56641,38968.83984,34459.21875,38332.60938,38332.60938,46383802093
8/1/2022,38333.74609,39630.32422,38111.34375,39214.21875,39214.21875,26545599159
8/2/2022,39213.08203,40005.34766,38702.53516,39105.14844,39105.14844,17467554129
8/3/2022,39098.69922,39778.94141,37268.97656,37709.78516,37709.78516,23450127612
8/4/2022,37706,43760.45703,37518.21484,43193.23438,43193.23438,35690014104
8/5/2022,43194.50391,44793.60156,42952.58594,44354.63672,44354.63672,32479047645
8/6/2022,44357.61719,45077.57813,43432.85156,43924.11719,43924.11719,29183112630
8/7/2022,43925.19531,44021.57813,41914.75,42451.78906,42451.78906,24967782593
8/8/2022,42458.14063,42479.61328,38805.84766,39137.60547,39137.60547,28516271427
8/9/2022,39148.44922,39566.33594,38777.03516,39400.58594,39400.58594,16975917450
8/10/2022,39404.19922,39640.17578,38211.64844,38419.98438,38419.98438,19745229902
8/11/2022,38429.30469,39430.22656,37260.20313,38062.03906,38062.03906,28546143503
8/12/2022,38059.90234,39304.44141,37957.38672,38737.26953,38737.26953,25776583476
8/13/2022,38742.81641,42465.67188,38706.09375,41982.92578,41982.92578,32284121034
8/14/2022,41974.07031,42004.72656,38832.94141,39437.46094,39437.46094,31078064711
8/15/2022,39439.96875,40081.67969,38347.43359,38794.97266,38794.97266,26364890465
8/16/2022,38794.46484,39308.59766,38772.53516,38904.01172,38904.01172,14616450657
8/17/2022,38884.72656,39209.35156,37728.14453,37849.66406,37849.66406,17300745310
8/18/2022,37846.31641,39742.5,37680.73438,39666.75391,39666.75391,24322159070
8/19/2022,39664.25,39794.62891,38310.21094,39338.78516,39338.78516,23934000868
8/20/2022,39335.57031,41465.45313,39022.34766,41143.92969,41143.92969,39616916192
8/21/2022,41140.84375,41287.53516,40662.87109,40951.37891,40951.37891,22009601093
8/22/2022,40944.83984,42195.74609,40302.39844,41801.15625,41801.15625,34421564942
8/23/2022,41794.64844,42316.55469,41602.66797,42190.65234,42190.65234,19664853187
8/24/2022,42191.40625,42241.16406,41004.75781,41247.82422,41247.82422,20127946682
8/25/2022,41246.13281,41454.41016,40668.04297,41077.99609,41077.99609,24615543271
8/26/2022,41074.10547,43124.70703,40948.28125,42358.80859,42358.80859,32004652376
8/27/2022,42364.37891,42893.50781,41877.50781,42892.95703,42892.95703,25242943069
8/28/2022,42886.65234,44131.85547,42726.16406,43960.93359,43960.93359,31042992291
8/29/2022,43964.54688,44999.49219,43706.28516,44348.73047,44348.73047,30574413034
8/30/2022,44349.85938,44735.99609,44166.27344,44500.82813,44500.82813,16950455995
8/31/2022,44505.35547,46827.54688,44437.29297,46820.49219,46820.49219,28160889722
9/1/2022,46821.85156,48086.83594,46690.20313,47128.00391,47128.00391,36362175703
9/2/2022,47100.4375,48022.28906,47100.4375,47465.73047,47465.73047,31397059069
9/3/2022,47456.89844,47655.14844,46746.21094,47062.66406,47062.66406,29333883962
9/4/2022,47062.14844,47512.02734,45390.53906,45538.67578,45538.67578,33327427106
9/5/2022,45554.16406,46616.24219,44403.14063,46281.64453,46281.64453,38162644287
9/6/2022,46285.5,47028.28125,45782.51172,45868.94922,45868.94922,29336594194
9/7/2022,45859.12891,47313.47656,45634.10547,46453.56641,46453.56641,25414397610
9/8/2022,46445.27344,46791.08984,45235.81641,46622.67578,46622.67578,32499785455
9/9/2022,46624.50781,47106.14063,45544.80859,45555.99219,45555.99219,29640604055
9/10/2022,45544.35547,45544.35547,43193.95313,43206.73828,43206.73828,39393395788
9/11/2022,43207.5,43860.69922,42899.90625,43503.84766,43503.84766,26101973106
9/12/2022,43505.13672,43903.01953,42183.28906,42287.66406,42287.66406,27215995394
9/13/2022,46311.74609,47827.3125,46288.48438,47686.8125,47686.8125,24582667004
9/14/2022,47680.92578,47881.40625,46856.9375,47345.21875,47345.21875,27951569547
9/15/2022,47343.54297,47510.72656,45835.96484,46458.11719,46458.11719,33071628362
9/16/2022,46458.85156,47406.54688,45752.46484,45897.57422,45897.57422,42494677905
9/17/2022,45899.35938,46929.04688,42798.22266,43569.00391,43569.00391,36851084859
9/18/2022,43565.51172,43748.71875,42645.53906,43160.92969,43160.92969,30208048289
9/19/2022,43153.57031,43153.57031,41077.44531,41557.90234,41557.90234,84196607520
9/20/2022,41561.46484,42228.94141,40672.27734,41733.94141,41733.94141,28066355845
9/21/2022,41734.72656,42663.94922,41338.16016,41911.60156,41911.60156,21294384372
9/22/2022,41910.23047,42199.48438,39796.57031,41821.26172,41821.26172,32104232331
9/23/2022,41819.50781,43001.15625,41407.75391,42735.85547,42735.85547,26327648900
9/24/2022,42742.17969,44135.36719,42528.98828,43949.10156,43949.10156,33499938689
9/25/2022,43946.74219,44278.42188,42447.04297,42591.57031,42591.57031,47691135082
9/26/2022,42598.87109,43346.6875,41982.61719,43099.69922,43099.69922,23577403399
9/27/2022,43101.89844,43724.67188,42669.03516,43177.39844,43177.39844,18371348298
9/28/2022,43172.03906,43436.80859,42691.02344,43113.87891,43113.87891,17902097845
9/29/2022,43118.12109,43179.39063,41680.32031,42250.55078,42250.55078,21690904261
9/30/2022,42250.07422,42534.40234,41392.21484,42375.63281,42375.63281,22417209227
10/1/2022,42374.03906,42478.30469,41242.91406,41744.32813,41744.32813,23091543258
10/2/2022,41744.02734,43413.02344,40672.82422,40680.41797,40680.41797,20382033940
10/3/2022,40699.60547,41060.52734,35791.42578,36457.31641,36457.31641,43011992031
10/4/2022,36471.58984,36688.8125,34349.25,35030.25,35030.25,39714385405
10/5/2022,35047.35938,36433.3125,34784.96875,36276.80469,36276.80469,26017975951
10/6/2022,36275.73438,37247.51953,33184.05859,36654.32813,36654.32813,41856658597
10/7/2022,36654.80469,37444.57031,35779.42969,36954.00391,36954.00391,26428189594
10/8/2022,36950.51563,38825.41016,36374.90625,36852.12109,36852.12109,31324598034
10/9/2022,36841.87891,37148.32422,35629.28125,37138.23438,37138.23438,25041426629
10/10/2022,37128.44531,37952.87891,36211.10938,37784.33203,37784.33203,22238830523
10/11/2022,37780.71484,38576.26172,37406.47266,38138.17969,38138.17969,17194183075
10/12/2022,38151.91797,38266.33984,37437.71094,37917.60156,37917.60156,14643548444
10/13/2022,37920.28125,38647.26172,36733.57422,38483.125,38483.125,20734730465
10/14/2022,38481.76563,39115.13281,38113.66406,38743.27344,38743.27344,20288500328
10/15/2022,38743.71484,38834.61719,36832.73047,36952.98438,36952.98438,19155189416
10/16/2022,36944.80469,37154.60156,36375.53906,37154.60156,37154.60156,18591534769
10/17/2022,37149.26563,41527.78516,37093.62891,41500.875,41500.875,29412210792
10/18/2022,41501.48047,41847.16406,41038.09766,41441.16406,41441.16406,19652846215
10/19/2022,41441.12109,42500.78516,41244.90625,42412.43359,42412.43359,16142097334
10/20/2022,42406.78125,44401.86328,41748.15625,43840.28516,43840.28516,28641855926
10/21/2022,43854.65234,45293.86719,42807.83594,44118.44531,44118.44531,33079398868
10/22/2022,44096.70313,44727.80078,43232.96875,44338.79688,44338.79688,23245887300
10/23/2022,44347.80078,45661.17188,43402.80859,43565.11328,43565.11328,32142048537
10/24/2022,43571.12891,43810.83203,42114.53906,42407.9375,42407.9375,26954925781
10/25/2022,42412.30078,42992.55078,41852.57422,42244.46875,42244.46875,18152390304
10/26/2022,42236.56641,42693.05469,41950.94141,42197.51563,42197.51563,14741589015
10/27/2022,42157.39844,42775.77734,41681.95703,42586.91797,42586.91797,20827783012
10/28/2022,42586.46484,44667.21875,42491.03516,44575.20313,44575.20313,22721659051
10/29/2022,44578.27734,44578.27734,43456.69141,43961.85938,43961.85938,19792547657
10/30/2022,43937.07031,44132.97266,40249.37109,40538.01172,40538.01172,26246662813
10/31/2022,40552.13281,40929.15234,39637.61719,40030.97656,40030.97656,23310007704
11/1/2022,40026.02344,40418.87891,39713.05859,40122.15625,40122.15625,13736557863
11/2/2022,40118.10156,40119.89063,38112.8125,38431.37891,38431.37891,18340576452
11/3/2022,38423.21094,39394.4375,36950.47656,37075.28125,37075.28125,29280402798
11/4/2022,37068.76953,38359.85547,36488.93359,38286.02734,38286.02734,25493150450
11/5/2022,38285.28125,39122.39453,37201.81641,37296.57031,37296.57031,21849073843
11/6/2022,37278.56641,38968.83984,34459.21875,38332.60938,38332.60938,46383802093
11/7/2022,38333.74609,39630.32422,38111.34375,39214.21875,39214.21875,26545599159
11/8/2022,39213.08203,40005.34766,38702.53516,39105.14844,39105.14844,17467554129
11/9/2022,39098.69922,39778.94141,37268.97656,37709.78516,37709.78516,23450127612
11/10/2022,37706,43760.45703,37518.21484,43193.23438,43193.23438,35690014104
11/11/2022,43194.50391,44793.60156,42952.58594,44354.63672,44354.63672,32479047645
11/12/2022,44357.61719,45077.57813,43432.85156,43924.11719,43924.11719,29183112630
11/13/2022,43925.19531,44021.57813,41914.75,42451.78906,42451.78906,24967782593
11/14/2022,42458.14063,42479.61328,38805.84766,39137.60547,39137.60547,28516271427
11/15/2022,39148.44922,39566.33594,38777.03516,39400.58594,39400.58594,16975917450
11/16/2022,39404.19922,39640.17578,38211.64844,38419.98438,38419.98438,19745229902
11/17/2022,38429.30469,39430.22656,37260.20313,38062.03906,38062.03906,28546143503
11/18/2022,38059.90234,39304.44141,37957.38672,38737.26953,38737.26953,25776583476
11/19/2022,38742.81641,42465.67188,38706.09375,41982.92578,41982.92578,32284121034
11/20/2022,41974.07031,42004.72656,38832.94141,39437.46094,39437.46094,31078064711
11/21/2022,39439.96875,40081.67969,38347.43359,38794.97266,38794.97266,26364890465
11/22/2022,38794.46484,39308.59766,38772.53516,38904.01172,38904.01172,14616450657
11/23/2022,38884.72656,39209.35156,37728.14453,37849.66406,37849.66406,17300745310
11/24/2022,37846.31641,39742.5,37680.73438,39666.75391,39666.75391,24322159070
11/25/2022,39664.25,39794.62891,38310.21094,39338.78516,39338.78516,23934000868
11/26/2022,39335.57031,41465.45313,39022.34766,41143.92969,41143.92969,39616916192
11/27/2022,41140.84375,41287.53516,40662.87109,40951.37891,40951.37891,22009601093
11/28/2022,40944.83984,42195.74609,40302.39844,41801.15625,41801.15625,34421564942
11/29/2022,41794.64844,42316.55469,41602.66797,42190.65234,42190.65234,19664853187
11/30/2022,42191.40625,42241.16406,41004.75781,41247.82422,41247.82422,20127946682
12/1/2022,41246.13281,41454.41016,40668.04297,41077.99609,41077.99609,24615543271
12/2/2022,41074.10547,43124.70703,40948.28125,42358.80859,42358.80859,32004652376
12/3/2022,42364.37891,42893.50781,41877.50781,42892.95703,42892.95703,25242943069
12/4/2022,42886.65234,44131.85547,42726.16406,43960.93359,43960.93359,31042992291
12/5/2022,43964.54688,44999.49219,43706.28516,44348.73047,44348.73047,30574413034
12/6/2022,44349.85938,44735.99609,44166.27344,44500.82813,44500.82813,16950455995
12/7/2022,44505.35547,46827.54688,44437.29297,46820.49219,46820.49219,28160889722
12/8/2022,46821.85156,48086.83594,46690.20313,47128.00391,47128.00391,36362175703
12/9/2022,47100.4375,48022.28906,47100.4375,47465.73047,47465.73047,31397059069
12/10/2022,47456.89844,47655.14844,46746.21094,47062.66406,47062.66406,29333883962
12/11/2022,47062.14844,47512.02734,45390.53906,45538.67578,45538.67578,33327427106
12/12/2022,45554.16406,46616.24219,44403.14063,46281.64453,46281.64453,38162644287
12/13/2022,46285.5,47028.28125,45782.51172,45868.94922,45868.94922,29336594194
12/14/2022,45859.12891,47313.47656,45634.10547,46453.56641,46453.56641,25414397610
12/15/2022,46445.27344,46791.08984,45235.81641,46622.67578,46622.67578,32499785455
12/16/2022,46624.50781,47106.14063,45544.80859,45555.99219,45555.99219,29640604055
12/17/2022,45544.35547,45544.35547,43193.95313,43206.73828,43206.73828,39393395788
12/18/2022,43207.5,43860.69922,42899.90625,43503.84766,43503.84766,26101973106
12/19/2022,43505.13672,43903.01953,42183.28906,42287.66406,42287.66406,27215995394
12/20/2022,43964.54688,44999.49219,43706.28516,44348.73047,44348.73047,30574413034
12/21/2022,44349.85938,44735.99609,44166.27344,44500.82813,44500.82813,16950455995
12/22/2022,44505.35547,46827.54688,44437.29297,46820.49219,46820.49219,28160889722
12/23/2022,46821.85156,48086.83594,46690.20313,47128.00391,47128.00391,36362175703
12/24/2022,47100.4375,48022.28906,47100.4375,47465.73047,47465.73047,31397059069
12/25/2022,47456.89844,47655.14844,46746.21094,47062.66406,47062.66406,29333883962
12/26/2022,47062.14844,47512.02734,45390.53906,45538.67578,45538.67578,33327427106
12/27/2022,45554.16406,46616.24219,44403.14063,46281.64453,46281.64453,38162644287
12/28/2022,46285.5,47028.28125,45782.51172,45868.94922,45868.94922,29336594194
12/29/2022,45859.12891,47313.47656,45634.10547,46453.56641,46453.56641,25414397610
12/30/2022,46445.27344,46791.08984,45235.81641,46622.67578,46622.67578,32499785455
12/31/2022,46624.50781,47106.14063,45544.80859,45555.99219,45555.99219,29640604055
